count,          pos,            speed,          accel,          jerk,           snap,           dt(seconds)
1, 0.000021     ,       -5785.639040    ,       0.000000        ,       114543.964838   ,       0.000000        ,       3.263000
2, 0.000062     ,       -5785.638902    ,       0.000462        ,       114543.964838   ,       0.000000        ,       3.273000
3, 0.000125     ,       -5785.638694    ,       0.001154        ,       114543.967146   ,       0.007693        ,       3.283000
4, 0.000208     ,       -5785.638417    ,       0.002077        ,       114543.970223   ,       0.017951        ,       3.293000
5, 0.000332     ,       -5785.638002    ,       0.003462        ,       114543.974839   ,       0.033338        ,       3.303000
6, 0.000499     ,       -5785.637448    ,       0.005308        ,       114543.980994   ,       0.053854        ,       3.313000
7, 0.000727     ,       -5785.636686    ,       0.007847        ,       114543.989457   ,       0.082063        ,       3.323000
8, 0.001018     ,       -5785.635717    ,       0.011079        ,       114544.000228   ,       0.117966        ,       3.333000
9, 0.001371     ,       -5785.634540    ,       0.015002        ,       114544.013307   ,       0.161562        ,       3.343000
10, 0.001786    ,       -5785.633155    ,       0.019618        ,       114544.028693   ,       0.212851        ,       3.353000
11, 0.002285    ,       -5785.631493    ,       0.025157        ,       114544.047157   ,       0.274398        ,       3.363000
12, 0.002867    ,       -5785.629554    ,       0.031620        ,       114544.068699   ,       0.346203        ,       3.373000
13, 0.003531    ,       -5785.627339    ,       0.039006        ,       114544.093318   ,       0.428266        ,       3.383000
14, 0.004300    ,       -5785.624777    ,       0.047545        ,       114544.121784   ,       0.523152        ,       3.393000
15, 0.005193    ,       -5785.621799    ,       0.057470        ,       114544.154865   ,       0.633424        ,       3.403000
16, 0.006211    ,       -5785.618407    ,       0.068779        ,       114544.192563   ,       0.759083        ,       3.413000
17, 0.007374    ,       -5785.614529    ,       0.081704        ,       114544.235646   ,       0.902693        ,       3.423000
18, 0.008662    ,       -5785.610236    ,       0.096014        ,       114544.283345   ,       1.061690        ,       3.433000
19, 0.010075    ,       -5785.605528    ,       0.111708        ,       114544.335660   ,       1.236074        ,       3.443000
20, 0.011632    ,       -5785.600335    ,       0.129018        ,       114544.393361   ,       1.428409        ,       3.453000
21, 0.013357    ,       -5785.594588    ,       0.148175        ,       114544.457216   ,       1.641260        ,       3.463000
22, 0.015226    ,       -5785.588356    ,       0.168947        ,       114544.526457   ,       1.872062        ,       3.473000
23, 0.017262    ,       -5785.581571    ,       0.191566        ,       114544.601852   ,       2.123380        ,       3.483000
24, 0.019464    ,       -5785.574231    ,       0.216031        ,       114544.683402   ,       2.395214        ,       3.493000
25, 0.021811    ,       -5785.566407    ,       0.242112        ,       114544.770338   ,       2.684999        ,       3.503000
26, 0.024303    ,       -5785.558098    ,       0.269808        ,       114544.862659   ,       2.992735        ,       3.513000
27, 0.026962    ,       -4628.421427    ,       3857.392044     ,       127401.936779   ,       42859.906471    ,       3.523000
28, 0.029808    ,       -3471.284133    ,       7714.516357     ,       127402.042179   ,       42860.257803    ,       3.533000
29, 0.032862    ,       -2314.146147    ,       11571.642979    ,       114545.179627   ,       4.049297        ,       3.543000
30, 0.036123    ,       -1157.007468    ,       15428.771908    ,       101688.324768   ,       -42852.133565   ,       3.553000
31, 0.039571    ,       0.131834        ,       19285.902915    ,       88831.476834    ,       -85708.293347   ,       3.563000
32, 0.043185    ,       0.143744        ,       19285.942151    ,       64286.472299    ,       -167524.975129  ,       3.573000
33, 0.047007    ,       0.156276        ,       19285.983234    ,       64286.606934    ,       -167524.534040  ,       3.583000
34, 0.051037    ,       0.169432        ,       19286.026163    ,       64286.746954    ,       -167524.077565  ,       3.593000
35, 0.055254    ,       0.183072        ,       19286.070247    ,       64286.889282    ,       -167523.618525  ,       3.603000
36, 0.059637    ,       0.197128        ,       19286.115253    ,       64287.033149    ,       -167523.159485  ,       3.613000
37, 0.064186    ,       0.211530        ,       19286.160721    ,       64287.176246    ,       -167522.710703  ,       3.623000
38, 0.068943    ,       0.226417        ,       19286.207112    ,       64287.320113    ,       -167522.267050  ,       3.633000
39, 0.073887    ,       0.241719        ,       19286.254196    ,       64287.463980    ,       -167521.831090  ,       3.643000
40, 0.079017    ,       0.257437        ,       19286.301972    ,       64287.607846    ,       -167521.402824  ,       3.653000
41, 0.084314    ,       0.273431        ,       19286.349748    ,       64287.748636    ,       -167520.995073  ,       3.663000
42, 0.089777    ,       0.289703        ,       19286.397524    ,       64287.886348    ,       -167520.607838  ,       3.673000
43, 0.095427    ,       0.306321        ,       19286.445531    ,       64288.021752    ,       -167520.238555  ,       3.683000
44, 0.101223    ,       0.323077        ,       19286.492845    ,       64288.151001    ,       -167519.902609  ,       3.693000
45, 0.107205    ,       0.340041        ,       19286.539468    ,       64288.273326    ,       -167519.605131  ,       3.703000
46, 0.113354    ,       0.357143        ,       19286.585166    ,       64288.387958    ,       -167519.348684  ,       3.713000
47, 0.119669    ,       0.374315        ,       19286.629480    ,       64288.492588    ,       -167519.143526  ,       3.723000
48, 0.126170    ,       0.391694        ,       19286.673102    ,       64288.590294    ,       -167518.976836  ,       3.733000
49, 0.132817    ,       0.409143        ,       19286.715570    ,       64288.679538    ,       -167518.853741  ,       3.743000
50, 0.139631    ,       0.426661        ,       19286.756652    ,       64288.758780    ,       -167518.781936  ,       3.753000
51, 0.146610    ,       0.444179        ,       19286.795889    ,       64288.825713    ,       -167518.771678  ,       3.763000
52, 0.153777    ,       0.461835        ,       19286.833971    ,       64288.883413    ,       -167518.810145  ,       3.773000
53, 0.161068    ,       0.479353        ,       19286.869746    ,       64288.927266    ,       -167518.915289  ,       3.783000
54, 0.168504    ,       0.496802        ,       19286.903443    ,       64288.958039    ,       -167519.084544  ,       3.793000
55, 0.176127    ,       0.514389        ,       19286.935986    ,       64288.979581    ,       -167519.302523  ,       3.803000
56, 0.183917    ,       0.532045        ,       19286.967144    ,       64288.991121    ,       -167519.571793  ,       3.813000
57, 0.191873    ,       0.549702        ,       15429.903762    ,       38575.039061    ,       -296089.659060  ,       3.823000
58, 0.199974    ,       0.567220        ,       11572.837842    ,       12861.071615    ,       -381803.235213  ,       3.833000
59, 0.208200    ,       0.584460        ,       7715.768690     ,       -12852.914296   ,       -424660.313075  ,       3.843000
60, 0.216550    ,       0.601424        ,       3858.696307     ,       -38566.918670   ,       -467517.478129  ,       3.853000
61, 0.225004    ,       0.618111        ,       1.620924        ,       -64280.939970   ,       -510374.722681  ,       3.863000
62, 0.233583    ,       0.634660        ,       1.636388        ,       -64281.019212   ,       -428558.305039  ,       3.873000
63, 0.242225    ,       0.650724        ,       1.648159        ,       -64281.116919   ,       -428559.079509  ,       3.883000
64, 0.250990    ,       0.666511        ,       1.656929        ,       -64281.230781   ,       -428559.925784  ,       3.893000
65, 0.259902    ,       0.682159        ,       1.663622        ,       -64281.355414   ,       -428560.815655  ,       3.903000
66, 0.268917    ,       0.697600        ,       1.668238        ,       -64281.490049   ,       -428561.743992  ,       3.913000
67, 0.278057    ,       0.712902        ,       1.671239        ,       -64281.631608   ,       -428562.692846  ,       3.923000
68, 0.287280    ,       0.727789        ,       1.671239        ,       -64281.786245   ,       -428563.687860  ,       3.933000
69, 0.296585    ,       0.742329        ,       1.668700        ,       -64281.951653   ,       -428564.718776  ,       3.943000
70, 0.305995    ,       0.756593        ,       1.663853        ,       -64282.127063   ,       -428565.783031  ,       3.953000
71, 0.315550    ,       0.770787        ,       1.657852        ,       -64282.306319   ,       -428566.849850  ,       3.963000
72, 0.325168    ,       0.784635        ,       1.649774        ,       -64282.492500   ,       -428567.929492  ,       3.973000
73, 0.334827    ,       0.797999        ,       1.638927        ,       -64282.688682   ,       -428569.034778  ,       3.983000
74, 0.344590    ,       0.811224        ,       1.627156        ,       -64282.885633   ,       -428570.122113  ,       3.993000
75, 0.354394    ,       0.823964        ,       1.613077        ,       -64283.087970   ,       -428571.204319  ,       4.003000
76, 0.364261    ,       0.836358        ,       1.597382        ,       -64283.292614   ,       -428572.268573  ,       4.013000
77, 0.374149    ,       0.848267        ,       1.579841        ,       -64283.498798   ,       -428573.304619  ,       4.023000
78, 0.384057    ,       0.859623        ,       1.559761        ,       -64283.711136   ,       -428574.338100  ,       4.033000
79, 0.394028    ,       0.870701        ,       1.538528        ,       -64283.923474   ,       -428575.343372  ,       4.043000
80, 0.404082    ,       0.881503        ,       1.516140        ,       -64284.135042   ,       -428576.312741  ,       4.053000
81, 0.414135    ,       0.891751        ,       1.491905        ,       -64284.346611   ,       -428577.241079  ,       4.063000
82, 0.424189    ,       0.901375        ,       1.465132        ,       -64284.562796   ,       -428578.154030  ,       4.073000
83, 0.434347    ,       0.910930        ,       1.438590        ,       -64284.770518   ,       -428578.992611  ,       4.083000
84, 0.444546    ,       0.920139        ,       1.411125        ,       -64284.974393   ,       -428579.774774  ,       4.093000
85, 0.454766    ,       0.928794        ,       1.381351        ,       -64285.182115   ,       -428580.538986  ,       4.103000
86, 0.465048    ,       0.937103        ,       1.350193        ,       -64285.389837   ,       -428581.269859  ,       4.113000
87, 0.475351    ,       0.944927        ,       1.317419        ,       -51428.621145   ,       -300012.200686  ,       4.123000
88, 0.485696    ,       0.952405        ,       1.283953        ,       -38571.846297   ,       -171443.059708  ,       4.133000
89, 0.496082    ,       0.959606        ,       1.250486        ,       -25715.060679   ,       -42873.821280   ,       4.143000
90, 0.506509    ,       0.966530        ,       1.217020        ,       -12858.264291   ,       85695.514598    ,       4.153000
91, 0.516999    ,       0.973316        ,       1.184015        ,       -1.456362       ,       214264.945361   ,       4.163000
92, 0.527593    ,       0.980032        ,       1.151241        ,       -1.617154       ,       214264.673528   ,       4.173000
93, 0.538228    ,       0.986679        ,       1.119852        ,       -1.761021       ,       214264.519660   ,       4.183000
94, 0.548885    ,       0.992980        ,       1.088232        ,       -1.895655       ,       214264.450419   ,       4.193000
95, 0.559561    ,       0.998866        ,       1.055689        ,       -2.026443       ,       214264.429903   ,       4.203000
96, 0.570321    ,       1.004682        ,       1.023608        ,       -2.148769       ,       214264.470935   ,       4.213000
97, 0.581081    ,       1.010083        ,       0.990603        ,       -2.268786       ,       214264.542740   ,       4.223000
98, 0.591862    ,       1.015276        ,       0.958291        ,       -2.376493       ,       214264.699172   ,       4.233000
99, 0.602664    ,       1.020261        ,       0.926440        ,       -2.474200       ,       214264.924846   ,       4.243000
100, 0.613486   ,       1.024970        ,       0.894589        ,       -2.564213       ,       214265.209502   ,       4.253000
101, 0.624288   ,       1.029124        ,       0.861123        ,       -2.655764       ,       214265.501851   ,       4.263000
102, 0.635110   ,       1.033140        ,       0.828349        ,       -2.738084       ,       214265.848054   ,       4.273000
103, 0.645995   ,       1.037225        ,       0.797422        ,       -2.805016       ,       214266.278885   ,       4.283000
104, 0.656900   ,       1.041033        ,       0.766033        ,       -2.870410       ,       214266.717409   ,       4.293000
105, 0.667764   ,       1.044565        ,       0.735336        ,       -2.925803       ,       214267.207223   ,       4.303000
106, 0.678628   ,       1.047888        ,       0.705101        ,       -2.974271       ,       214267.727810   ,       4.313000
107, 0.689512   ,       1.051212        ,       0.676481        ,       -3.011200       ,       214268.291993   ,       4.323000
108, 0.700418   ,       1.054535        ,       0.649708        ,       -3.033510       ,       214268.925417   ,       4.333000
109, 0.711323   ,       1.057651        ,       0.623166        ,       -3.051205       ,       214269.574228   ,       4.343000
110, 0.722166   ,       1.060282        ,       0.595931        ,       -3.067361       ,       214270.225603   ,       4.353000
111, 0.733009   ,       1.062913        ,       0.570543        ,       -3.071208       ,       214270.918010   ,       4.363000
112, 0.743873   ,       1.065614        ,       0.547463        ,       -3.058899       ,       214271.679657   ,       4.373000
113, 0.754696   ,       1.067830        ,       0.522998        ,       -3.051975       ,       214272.395144   ,       4.383000
114, 0.765497   ,       1.069837        ,       0.498994        ,       -3.040434       ,       214273.113195   ,       4.393000
115, 0.776257   ,       1.071638        ,       0.476145        ,       -3.017354       ,       214273.882536   ,       4.403000
116, 0.786976   ,       1.073092        ,       0.453296        ,       -2.989658       ,       214274.667263   ,       4.413000
117, 0.797694   ,       1.074477        ,       0.431831        ,       -2.951960       ,       171418.897281   ,       4.423000
118, 0.808371   ,       1.075584        ,       0.410597        ,       -2.911185       ,       128563.117041   ,       4.433000
119, 0.819006   ,       1.076415        ,       0.389363        ,       -2.870410       ,       85707.300898    ,       4.443000
120, 0.829600   ,       1.076969        ,       0.368130        ,       -2.829635       ,       42851.448852    ,       4.453000
121, 0.840111   ,       1.077039        ,       0.345742        ,       -2.794245       ,       -4.459612       ,       4.463000
122, 0.850538   ,       1.076485        ,       0.321507        ,       -2.765780       ,       -3.828752       ,       4.473000
123, 0.861008   ,       1.075931        ,       0.297504        ,       -2.741161       ,       -3.267134       ,       4.483000
124, 0.871415   ,       1.075100        ,       0.273731        ,       -2.715003       ,       -2.731159       ,       4.493000
125, 0.881738   ,       1.073923        ,       0.250190        ,       -2.684999       ,       -2.195185       ,       4.503000
126, 0.891979   ,       1.072192        ,       0.225032        ,       -2.661919       ,       -1.710501       ,       4.513000
127, 0.902157   ,       1.070253        ,       0.200567        ,       -2.633453       ,       -1.215558       ,       4.523000
128, 0.912253   ,       1.067968        ,       0.175640        ,       -2.608834       ,       -0.774470       ,       4.533000
129, 0.922327   ,       1.065545        ,       0.150945        ,       -2.584985       ,       -0.369284       ,       4.543000
130, 0.932319   ,       1.062775        ,       0.126018        ,       -2.561905       ,       0.007693        ,       4.553000
131, 0.942206   ,       1.059728        ,       0.102015        ,       -2.530362       ,       0.418008        ,       4.563000
132, 0.952073   ,       1.056543        ,       0.078011        ,       -2.501127       ,       0.789856        ,       4.573000
133, 0.961836   ,       1.052804        ,       0.051930        ,       -2.484970       ,       1.066819        ,       4.583000
134, 0.971516   ,       1.048719        ,       0.025619        ,       -2.468045       ,       1.341217        ,       4.593000
135, 0.981154   ,       1.044634        ,       0.000231        ,       -2.450350       ,       1.584842        ,       4.603000
136, 0.990709   ,       1.040272        ,       -0.025388       ,       -2.434963       ,       1.797693        ,       4.613000
137, 1.000161   ,       1.035494        ,       -0.052392       ,       -2.429578       ,       1.938739        ,       4.623000
138, 1.009467   ,       1.030163        ,       -0.081242       ,       -2.436502       ,       1.990028        ,       4.633000
139, 1.018669   ,       1.024485        ,       -0.110554       ,       -2.445734       ,       2.018237        ,       4.643000
140, 1.027767   ,       1.018669        ,       -0.138712       ,       -2.448811       ,       2.061833        ,       4.653000
141, 1.036720   ,       1.012368        ,       -0.168486       ,       -2.463429       ,       2.025931        ,       4.663000
142, 1.045506   ,       1.005444        ,       -0.200567       ,       -2.493433       ,       1.884885        ,       4.673000
143, 1.054148   ,       0.998173        ,       -0.232187       ,       -2.517283       ,       1.782306        ,       4.683000
144, 1.062623   ,       0.990418        ,       -0.264730       ,       -2.545748       ,       1.648954        ,       4.693000
145, 1.070952   ,       0.982317        ,       -0.297735       ,       -2.579599       ,       1.459183        ,       4.703000
146, 1.079116   ,       0.973801        ,       -0.330970       ,       -2.614220       ,       1.251461        ,       4.713000
147, 1.087071   ,       0.964592        ,       -0.366283       ,       -2.660380       ,       0.971934        ,       4.723000
148, 1.094820   ,       0.954829        ,       -0.402519       ,       -2.710387       ,       0.669326        ,       4.733000
149, 1.102360   ,       0.944512        ,       -0.439678       ,       -2.763472       ,       0.356461        ,       4.743000
150, 1.109692   ,       0.933641        ,       -0.477761       ,       -2.819634       ,       0.033338        ,       4.753000
151, 1.116859   ,       0.922493        ,       -0.515151       ,       -2.869641       ,       -0.251318       ,       4.763000
152, 1.123818   ,       0.910930        ,       -0.551848       ,       -2.911185       ,       -0.484685       ,       4.773000
153, 1.130548   ,       0.898467        ,       -0.591546       ,       -2.963500       ,       -0.741132       ,       4.783000
154, 1.137070   ,       0.885519        ,       -0.631936       ,       -3.018893       ,       -1.012965       ,       4.793000
155, 1.143426   ,       0.872294        ,       -0.672096       ,       -3.074285       ,       -1.297621       ,       4.803000
156, 1.149575   ,       0.858653        ,       -0.711794       ,       -3.122754       ,       -1.536117       ,       4.813000
157, 1.155537   ,       0.844598        ,       -0.752184       ,       -3.175838       ,       -1.807951       ,       4.823000
158, 1.161332   ,       0.830265        ,       -0.792344       ,       -3.226615       ,       -2.059269       ,       4.833000
159, 1.166899   ,       0.815240        ,       -0.834350       ,       -3.284315       ,       -2.331102       ,       4.843000
160, 1.172258   ,       0.799799        ,       -0.876587       ,       -3.342016       ,       -2.600372       ,       4.853000
161, 1.177472   ,       0.784220        ,       -0.918362       ,       -3.401255       ,       -2.902979       ,       4.863000
162, 1.182478   ,       0.768017        ,       -0.961753       ,       -3.465880       ,       -3.215844       ,       4.873000
163, 1.187297   ,       0.751538        ,       -1.004220       ,       -3.520503       ,       -3.451775       ,       4.883000
164, 1.191930   ,       0.734713        ,       -1.046688       ,       -3.574357       ,       -3.687706       ,       4.893000
165, 1.196354   ,       0.717333        ,       -1.091002       ,       -3.637443       ,       -3.956976       ,       4.903000
166, 1.200592   ,       0.699608        ,       -1.135547       ,       -3.700529       ,       -4.218552       ,       4.913000
167, 1.204663   ,       0.681674        ,       -1.179399       ,       -3.756691       ,       -4.423709       ,       4.923000
168, 1.208589   ,       0.663741        ,       -1.221405       ,       -3.800543       ,       -4.546804       ,       4.933000
169, 1.212328   ,       0.645531        ,       -1.263181       ,       -3.842087       ,       -4.654511       ,       4.943000
170, 1.215901   ,       0.627113        ,       -1.305187       ,       -3.888248       ,       -4.798122       ,       4.953000
171, 1.219349   ,       0.608764        ,       -1.345346       ,       -3.922868       ,       -4.864798       ,       4.963000
172, 1.222652   ,       0.590484        ,       -1.383198       ,       -3.942102       ,       -4.828895       ,       4.973000
173, 1.225788   ,       0.572136        ,       -1.420126       ,       -3.959797       ,       -4.808379       ,       4.983000
174, 1.228779   ,       0.553856        ,       -1.455208       ,       -3.968259       ,       -4.741703       ,       4.993000
175, 1.231625   ,       0.535577        ,       -1.489136       ,       -3.971337       ,       -4.639124       ,       5.003000
176, 1.234346   ,       0.517435        ,       -1.521217       ,       -3.967490       ,       -4.510901       ,       5.013000
177, 1.236943   ,       0.499571        ,       -1.550068       ,       -3.945948       ,       -4.285228       ,       5.023000
178, 1.239415   ,       0.481984        ,       -1.576148       ,       -3.912097       ,       -4.005701       ,       5.033000
179, 1.241762   ,       0.464674        ,       -1.599459       ,       -3.865937       ,       -3.674884       ,       5.043000
180, 1.244005   ,       0.447710        ,       -1.619770       ,       -3.806698       ,       -3.290214       ,       5.053000
181, 1.246124   ,       0.430885        ,       -1.638696       ,       -3.745151       ,       -2.918366       ,       5.063000
182, 1.248139   ,       0.414405        ,       -1.655083       ,       -3.677449       ,       -2.554211       ,       5.073000
183, 1.250009   ,       0.398203        ,       -1.667546       ,       -3.586666       ,       -2.077220       ,       5.083000
184, 1.251795   ,       0.382416        ,       -1.677009       ,       -3.483575       ,       -1.548939       ,       5.093000
185, 1.253436   ,       0.366699        ,       -1.685318       ,       -3.377406       ,       -1.010401       ,       5.103000
186, 1.254973   ,       0.351327        ,       -1.691088       ,       -3.264313       ,       -0.471862       ,       5.113000
187, 1.256406   ,       0.336233        ,       -1.694550       ,       -3.141218       ,       0.115401        ,       5.123000
188, 1.257736   ,       0.321346        ,       -1.696396       ,       -3.013508       ,       0.710358        ,       5.133000
189, 1.258961   ,       0.306875        ,       -1.694550       ,       -2.867333       ,       1.389942        ,       5.143000
190, 1.260104   ,       0.292819        ,       -1.689934       ,       -2.711157       ,       2.102865        ,       5.153000
191, 1.261122   ,       0.278832        ,       -1.684625       ,       -2.554211       ,       2.823480        ,       5.163000
192, 1.262036   ,       0.265192        ,       -1.676086       ,       -2.381109       ,       3.615901        ,       5.173000
193, 1.262867   ,       0.251898        ,       -1.665469       ,       -2.204161       ,       4.387806        ,       5.183000
